,id,label
0,3500,fourties
1,3501,fourties
2,3502,fourties
3,3503,thirties
4,3504,twenties
5,3505,fourties
6,3506,thirties
7,3507,thirties
8,3508,fifties
9,3509,fourties
10,3510,thirties
11,3511,thirties
12,3512,fifties
13,3513,twenties
14,3514,fourties
15,3515,teens
16,3516,thirties
17,3517,fourties
18,3518,thirties
19,3519,fifties
20,3520,fifties
21,3521,fifties
22,3522,fourties
23,3523,fifties
24,3524,thirties
25,3525,thirties
26,3526,thirties
27,3527,fourties
28,3528,teens
29,3529,teens
30,3530,fourties
31,3531,teens
32,3532,fourties
33,3533,fourties
34,3534,twenties
35,3535,thirties
36,3536,fourties
37,3537,fifties
38,3538,fourties
39,3539,thirties
40,3540,fifties
41,3541,thirties
42,3542,twenties
43,3543,fifties
44,3544,fourties
45,3545,fifties
46,3546,fourties
47,3547,fourties
48,3548,fifties
49,3549,thirties
50,3550,fourties
51,3551,fifties
52,3552,fourties
53,3553,fourties
54,3554,thirties
55,3555,fifties
56,3556,fourties
57,3557,fourties
58,3558,fifties
59,3559,thirties
60,3560,thirties
61,3561,fourties
62,3562,fourties
63,3563,fourties
64,3564,fourties
65,3565,fifties
66,3566,twenties
67,3567,fourties
68,3568,thirties
69,3569,fifties
70,3570,fourties
71,3571,fourties
72,3572,fifties
73,3573,thirties
74,3574,fourties
75,3575,teens
76,3576,thirties
77,3577,thirties
78,3578,fifties
79,3579,fourties
80,3580,fourties
81,3581,fourties
82,3582,teens
83,3583,fifties
84,3584,teens
85,3585,fourties
86,3586,fourties
87,3587,twenties
88,3588,thirties
89,3589,fourties
90,3590,twenties
91,3591,fourties
92,3592,thirties
93,3593,thirties
94,3594,fifties
95,3595,thirties
96,3596,fifties
97,3597,fifties
98,3598,fourties
99,3599,thirties
100,3600,thirties
101,3601,fifties
102,3602,thirties
103,3603,thirties
104,3604,twenties
105,3605,fifties
106,3606,teens
107,3607,fourties
108,3608,fourties
109,3609,fifties
110,3610,teens
111,3611,teens
112,3612,fourties
113,3613,fourties
114,3614,fourties
115,3615,fourties
116,3616,teens
117,3617,fourties
118,3618,thirties
119,3619,teens
120,3620,thirties
121,3621,twenties
122,3622,thirties
123,3623,fourties
124,3624,teens
125,3625,fourties
126,3626,thirties
127,3627,fourties
128,3628,teens
129,3629,twenties
130,3630,fourties
131,3631,thirties
132,3632,fifties
133,3633,teens
134,3634,fifties
135,3635,fourties
136,3636,teens
137,3637,teens
138,3638,fourties
139,3639,fifties
140,3640,teens
141,3641,teens
142,3642,twenties
143,3643,thirties
144,3644,fifties
145,3645,teens
146,3646,fourties
147,3647,thirties
148,3648,twenties
149,3649,fifties
150,3650,fifties
151,3651,thirties
152,3652,thirties
153,3653,fifties
154,3654,fifties
155,3655,fourties
156,3656,fourties
157,3657,fourties
158,3658,fourties
159,3659,twenties
160,3660,fourties
161,3661,fourties
162,3662,thirties
163,3663,fifties
164,3664,teens
165,3665,fourties
166,3666,fourties
167,3667,fifties
168,3668,thirties
169,3669,thirties
170,3670,twenties
171,3671,thirties
172,3672,thirties
173,3673,fourties
174,3674,teens
175,3675,thirties
176,3676,teens
177,3677,teens
178,3678,fourties
179,3679,fifties
180,3680,thirties
181,3681,fifties
182,3682,fourties
183,3683,fourties
184,3684,twenties
185,3685,fifties
186,3686,fourties
187,3687,fifties
188,3688,fourties
189,3689,fifties
190,3690,fifties
191,3691,thirties
192,3692,thirties
193,3693,fifties
194,3694,fourties
195,3695,teens
196,3696,twenties
197,3697,fourties
198,3698,fourties
199,3699,teens
200,3700,twenties
201,3701,fourties
202,3702,fifties
203,3703,fourties
204,3704,twenties
205,3705,twenties
206,3706,teens
207,3707,fourties
208,3708,fourties
209,3709,thirties
210,3710,thirties
211,3711,fourties
212,3712,fourties
213,3713,fourties
214,3714,thirties
215,3715,fifties
216,3716,fourties
217,3717,fourties
218,3718,teens
219,3719,thirties
220,3720,teens
221,3721,fifties
222,3722,teens
223,3723,fifties
224,3724,fourties
225,3725,fourties
226,3726,teens
227,3727,fourties
228,3728,teens
229,3729,thirties
230,3730,twenties
231,3731,twenties
232,3732,teens
233,3733,twenties
234,3734,fourties
235,3735,fourties
236,3736,fifties
237,3737,fifties
238,3738,fifties
239,3739,teens
240,3740,fifties
241,3741,thirties
242,3742,twenties
243,3743,teens
244,3744,thirties
245,3745,fifties
246,3746,thirties
247,3747,thirties
248,3748,thirties
249,3749,fourties
250,3750,teens
251,3751,thirties
252,3752,fifties
253,3753,fourties
254,3754,fourties
255,3755,fourties
256,3756,fourties
257,3757,twenties
258,3758,fifties
259,3759,teens
260,3760,fourties
261,3761,fourties
262,3762,fourties
263,3763,fifties
264,3764,teens
265,3765,teens
266,3766,fourties
267,3767,teens
268,3768,fifties
269,3769,thirties
270,3770,twenties
271,3771,fourties
272,3772,twenties
273,3773,teens
274,3774,fifties
275,3775,teens
276,3776,teens
277,3777,teens
278,3778,thirties
279,3779,twenties
280,3780,thirties
281,3781,thirties
282,3782,fifties
283,3783,thirties
284,3784,fifties
285,3785,fourties
286,3786,fifties
287,3787,twenties
288,3788,twenties
289,3789,fourties
290,3790,fifties
291,3791,teens
292,3792,fourties
293,3793,teens
294,3794,fifties
295,3795,thirties
296,3796,fourties
297,3797,fourties
298,3798,thirties
299,3799,teens
300,3800,fourties
301,3801,thirties
302,3802,teens
303,3803,thirties
304,3804,teens
305,3805,fifties
306,3806,fifties
307,3807,fourties
308,3808,teens
309,3809,thirties
310,3810,twenties
311,3811,teens
312,3812,fifties
313,3813,teens
314,3814,thirties
315,3815,thirties
316,3816,fourties
317,3817,fifties
318,3818,fourties
319,3819,twenties
320,3820,thirties
321,3821,teens
322,3822,teens
323,3823,twenties
324,3824,fourties
325,3825,twenties
326,3826,fourties
327,3827,fourties
328,3828,teens
329,3829,fifties
330,3830,twenties
331,3831,twenties
332,3832,thirties
333,3833,fifties
334,3834,fourties
335,3835,thirties
336,3836,thirties
337,3837,thirties
338,3838,teens
339,3839,thirties
340,3840,fourties
341,3841,thirties
342,3842,thirties
343,3843,teens
344,3844,teens
345,3845,teens
346,3846,thirties
347,3847,fourties
348,3848,fourties
349,3849,fifties
350,3850,fourties
351,3851,fifties
352,3852,fifties
353,3853,fifties
354,3854,fourties
355,3855,teens
356,3856,fifties
357,3857,fourties
358,3858,twenties
359,3859,fifties
360,3860,fourties
361,3861,fifties
362,3862,teens
363,3863,fourties
364,3864,twenties
365,3865,fourties
366,3866,fifties
367,3867,twenties
368,3868,fourties
369,3869,twenties
370,3870,thirties
371,3871,fourties
372,3872,teens
373,3873,fourties
374,3874,teens
375,3875,fourties
376,3876,fifties
377,3877,teens
378,3878,teens
379,3879,fifties
380,3880,fifties
381,3881,fourties
382,3882,fourties
383,3883,fourties
384,3884,fourties
385,3885,thirties
386,3886,fifties
387,3887,fourties
388,3888,thirties
389,3889,teens
390,3890,fourties
391,3891,teens
392,3892,teens
393,3893,fifties
394,3894,thirties
395,3895,thirties
396,3896,thirties
397,3897,fourties
398,3898,thirties
399,3899,teens
400,3900,teens
401,3901,thirties
402,3902,thirties
403,3903,fourties
404,3904,fourties
405,3905,fourties
406,3906,twenties
407,3907,thirties
408,3908,fourties
409,3909,thirties
410,3910,thirties
411,3911,thirties
412,3912,teens
413,3913,fifties
414,3914,thirties
415,3915,fifties
416,3916,teens
417,3917,thirties
418,3918,fifties
419,3919,twenties
420,3920,fourties
421,3921,twenties
422,3922,fourties
423,3923,thirties
424,3924,fourties
425,3925,fourties
426,3926,fourties
427,3927,thirties
428,3928,twenties
429,3929,thirties
430,3930,fifties
431,3931,fourties
432,3932,fifties
433,3933,twenties
434,3934,teens
435,3935,fourties
436,3936,fifties
437,3937,twenties
438,3938,fifties
439,3939,fifties
440,3940,thirties
441,3941,fifties
442,3942,fifties
443,3943,thirties
444,3944,thirties
445,3945,fourties
446,3946,twenties
447,3947,fifties
448,3948,fifties
449,3949,thirties
450,3950,fifties
451,3951,fifties
452,3952,fifties
453,3953,fifties
454,3954,thirties
455,3955,thirties
456,3956,thirties
457,3957,fourties
458,3958,fourties
459,3959,fifties
460,3960,fifties
461,3961,fourties
462,3962,twenties
463,3963,teens
464,3964,fourties
465,3965,fourties
466,3966,fourties
467,3967,fifties
468,3968,fourties
469,3969,thirties
470,3970,fourties
471,3971,fourties
472,3972,teens
473,3973,fifties
474,3974,twenties
475,3975,fifties
476,3976,fifties
477,3977,teens
478,3978,fourties
479,3979,twenties
480,3980,thirties
481,3981,fourties
482,3982,twenties
483,3983,teens
484,3984,fourties
485,3985,thirties
486,3986,fifties
487,3987,fourties
488,3988,fourties
489,3989,twenties
490,3990,fifties
491,3991,fifties
492,3992,fourties
493,3993,fourties
494,3994,fifties
495,3995,thirties
496,3996,fourties
497,3997,thirties
498,3998,fifties
499,3999,fourties
500,4000,fifties
501,4001,fourties
502,4002,fourties
503,4003,twenties
504,4004,fourties
505,4005,teens
506,4006,twenties
507,4007,thirties
508,4008,teens
509,4009,fourties
510,4010,twenties
511,4011,teens
512,4012,fifties
513,4013,thirties
514,4014,fifties
515,4015,fifties
516,4016,twenties
517,4017,thirties
518,4018,fourties
519,4019,teens
520,4020,thirties
521,4021,fourties
522,4022,fifties
523,4023,fifties
524,4024,fourties
525,4025,fifties
526,4026,fifties
527,4027,teens
528,4028,twenties
529,4029,teens
530,4030,teens
531,4031,fifties
532,4032,twenties
533,4033,twenties
534,4034,fifties
535,4035,thirties
536,4036,fourties
537,4037,fourties
538,4038,fourties
539,4039,fourties
540,4040,twenties
541,4041,fourties
542,4042,thirties
543,4043,fifties
544,4044,twenties
545,4045,twenties
546,4046,fifties
547,4047,teens
548,4048,fifties
549,4049,thirties
550,4050,fourties
551,4051,fifties
552,4052,teens
553,4053,teens
554,4054,thirties
555,4055,teens
556,4056,teens
557,4057,thirties
558,4058,thirties
559,4059,thirties
560,4060,fourties
561,4061,fourties
562,4062,thirties
563,4063,fourties
564,4064,fourties
565,4065,teens
566,4066,teens
567,4067,fifties
568,4068,thirties
569,4069,fifties
570,4070,fifties
571,4071,teens
572,4072,fourties
573,4073,teens
574,4074,thirties
575,4075,thirties
576,4076,teens
577,4077,thirties
578,4078,fourties
579,4079,fourties
580,4080,teens
581,4081,fifties
582,4082,fourties
583,4083,fifties
584,4084,teens
585,4085,teens
586,4086,fourties
587,4087,thirties
588,4088,fifties
589,4089,thirties
590,4090,teens
591,4091,fourties
592,4092,thirties
593,4093,fifties
594,4094,fourties
595,4095,teens
596,4096,fourties
597,4097,teens
598,4098,fourties
599,4099,fourties
600,4100,teens
601,4101,thirties
602,4102,thirties
603,4103,fourties
604,4104,fourties
605,4105,teens
606,4106,teens
607,4107,teens
608,4108,twenties
609,4109,thirties
610,4110,fourties
611,4111,fifties
612,4112,thirties
613,4113,teens
614,4114,fifties
615,4115,fifties
616,4116,thirties
617,4117,fourties
618,4118,teens
619,4119,fifties
620,4120,thirties
621,4121,fourties
622,4122,fourties
623,4123,twenties
624,4124,fourties
625,4125,thirties
626,4126,fifties
627,4127,teens
628,4128,fourties
629,4129,teens
630,4130,fourties
631,4131,fourties
632,4132,twenties
633,4133,thirties
634,4134,thirties
635,4135,fourties
636,4136,thirties
637,4137,fourties
638,4138,thirties
639,4139,teens
640,4140,thirties
641,4141,fifties
642,4142,teens
643,4143,fifties
644,4144,fifties
645,4145,thirties
646,4146,teens
647,4147,teens
648,4148,fourties
649,4149,teens
650,4150,fifties
651,4151,teens
652,4152,teens
653,4153,fourties
654,4154,fourties
655,4155,twenties
656,4156,thirties
657,4157,fifties
658,4158,fifties
659,4159,thirties
660,4160,fifties
661,4161,fourties
662,4162,fourties
663,4163,fourties
664,4164,fourties
665,4165,thirties
666,4166,fifties
667,4167,teens
668,4168,fourties
669,4169,thirties
670,4170,teens
671,4171,thirties
672,4172,thirties
673,4173,fourties
674,4174,thirties
675,4175,fourties
676,4176,fourties
677,4177,fourties
678,4178,thirties
679,4179,fourties
680,4180,thirties
681,4181,twenties
682,4182,fifties
683,4183,fifties
684,4184,fifties
685,4185,fourties
686,4186,fourties
687,4187,fourties
688,4188,twenties
689,4189,fourties
690,4190,fourties
691,4191,fourties
692,4192,twenties
693,4193,teens
694,4194,fourties
695,4195,thirties
696,4196,fourties
697,4197,fourties
698,4198,fifties
