id,y
3500,fifties
3501,fifties
3502,twenties
3503,fourties
3504,teens
3505,twenties
3506,teens
3507,fifties
3508,teens
3509,twenties
3510,twenties
3511,twenties
3512,teens
3513,teens
3514,fifties
3515,fourties
3516,fifties
3517,fifties
3518,thirties
3519,twenties
3520,teens
3521,teens
3522,twenties
3523,fifties
3524,thirties
3525,twenties
3526,fourties
3527,twenties
3528,thirties
3529,fourties
3530,teens
3531,fourties
3532,fourties
3533,fourties
3534,twenties
3535,twenties
3536,teens
3537,fourties
3538,twenties
3539,teens
3540,teens
3541,twenties
3542,teens
3543,thirties
3544,fourties
3545,fifties
3546,thirties
3547,thirties
3548,thirties
3549,fourties
3550,thirties
3551,fifties
3552,teens
3553,twenties
3554,thirties
3555,thirties
3556,fifties
3557,twenties
3558,thirties
3559,fourties
3560,teens
3561,fifties
3562,teens
3563,twenties
3564,teens
3565,fifties
3566,fourties
3567,thirties
3568,thirties
3569,thirties
3570,fourties
3571,fifties
3572,thirties
3573,twenties
3574,fourties
3575,thirties
3576,teens
3577,thirties
3578,teens
3579,thirties
3580,twenties
3581,fifties
3582,thirties
3583,thirties
3584,twenties
3585,fourties
3586,fifties
3587,teens
3588,fifties
3589,teens
3590,fourties
3591,thirties
3592,fifties
3593,twenties
3594,fifties
3595,twenties
3596,teens
3597,fifties
3598,fifties
3599,teens
3600,teens
3601,fourties
3602,fourties
3603,fifties
3604,thirties
3605,teens
3606,fourties
3607,fifties
3608,fourties
3609,thirties
3610,twenties
3611,twenties
3612,thirties
3613,twenties
3614,fourties
3615,fourties
3616,thirties
3617,thirties
3618,teens
3619,fourties
3620,teens
3621,teens
3622,twenties
3623,fourties
3624,twenties
3625,teens
3626,teens
3627,thirties
3628,thirties
3629,fourties
3630,twenties
3631,teens
3632,teens
3633,thirties
3634,twenties
3635,thirties
3636,fourties
3637,fifties
3638,teens
3639,thirties
3640,twenties
3641,fifties
3642,fourties
3643,teens
3644,fourties
3645,teens
3646,twenties
3647,twenties
3648,fifties
3649,thirties
3650,twenties
3651,teens
3652,teens
3653,teens
3654,thirties
3655,teens
3656,fifties
3657,twenties
3658,fifties
3659,twenties
3660,twenties
3661,fourties
3662,fifties
3663,fifties
3664,fifties
3665,teens
3666,fifties
3667,twenties
3668,fourties
3669,fourties
3670,fourties
3671,fifties
3672,fourties
3673,thirties
3674,fifties
3675,fourties
3676,fourties
3677,twenties
3678,fifties
3679,thirties
3680,teens
3681,teens
3682,twenties
3683,fifties
3684,thirties
3685,teens
3686,fifties
3687,thirties
3688,twenties
3689,twenties
3690,thirties
3691,thirties
3692,thirties
3693,twenties
3694,twenties
3695,thirties
3696,teens
3697,fourties
3698,fifties
3699,fourties
3700,thirties
3701,fifties
3702,fourties
3703,teens
3704,fifties
3705,thirties
3706,fifties
3707,twenties
3708,teens
3709,twenties
3710,fourties
3711,fourties
3712,teens
3713,fifties
3714,fifties
3715,fifties
3716,twenties
3717,fourties
3718,twenties
3719,fifties
3720,teens
3721,fifties
3722,teens
3723,thirties
3724,teens
3725,fourties
3726,teens
3727,thirties
3728,thirties
3729,fifties
3730,teens
3731,fifties
3732,twenties
3733,fourties
3734,thirties
3735,thirties
3736,teens
3737,teens
3738,fifties
3739,teens
3740,twenties
3741,fifties
3742,fourties
3743,teens
3744,teens
3745,fifties
3746,twenties
3747,teens
3748,fifties
3749,twenties
3750,teens
3751,fourties
3752,teens
3753,thirties
3754,twenties
3755,thirties
3756,fifties
3757,fifties
3758,teens
3759,teens
3760,fourties
3761,twenties
3762,teens
3763,teens
3764,fifties
3765,teens
3766,twenties
3767,fifties
3768,fourties
3769,fourties
3770,fourties
3771,fourties
3772,fourties
3773,fourties
3774,twenties
3775,fifties
3776,thirties
3777,fifties
3778,fourties
3779,teens
3780,fifties
3781,teens
3782,fifties
3783,fourties
3784,fourties
3785,fifties
3786,teens
3787,thirties
3788,thirties
3789,teens
3790,thirties
3791,teens
3792,fourties
3793,fourties
3794,twenties
3795,twenties
3796,twenties
3797,fourties
3798,fifties
3799,fifties
3800,thirties
3801,fifties
3802,fourties
3803,fifties
3804,fourties
3805,fourties
3806,twenties
3807,fifties
3808,thirties
3809,teens
3810,fourties
3811,twenties
3812,teens
3813,fifties
3814,thirties
3815,teens
3816,twenties
3817,thirties
3818,twenties
3819,fourties
3820,thirties
3821,fifties
3822,twenties
3823,thirties
3824,teens
3825,fifties
3826,fourties
3827,thirties
3828,fifties
3829,thirties
3830,twenties
3831,fourties
3832,fourties
3833,fourties
3834,thirties
3835,twenties
3836,teens
3837,fourties
3838,fourties
3839,fourties
3840,fifties
3841,fifties
